# temp_init,temp_pred
2.061981201171875000e+00,2.090658187866210938e+00
3.059820175170898438e+00,3.421077728271484375e+00
3.918214559555053711e+00,3.383706092834472656e+00
2.287733554840087891e+00,2.419420719146728516e+00
3.577378273010253906e+00,3.320718765258789062e+00
3.378520011901855469e+00,3.171422958374023438e+00
2.840717792510986328e+00,3.093160629272460938e+00
2.312055587768554688e+00,2.203981876373291016e+00
2.817986249923706055e+00,2.727526187896728516e+00
2.621630907058715820e+00,3.001451492309570312e+00
3.199426412582397461e+00,2.878754138946533203e+00
1.799534678459167480e+00,1.817456841468811035e+00
3.472804069519042969e+00,3.091073513031005859e+00
9.728026390075683594e-01,7.556670904159545898e-01
9.992373585700988770e-01,7.556670904159545898e-01
1.710377216339111328e+00,1.056007027626037598e+00
1.560976147651672363e+00,1.437532067298889160e+00
1.269748806953430176e+00,7.556670904159545898e-01
2.539099931716918945e+00,2.690198898315429688e+00
2.501406908035278320e+00,2.037847518920898438e+00
2.129245042800903320e+00,1.936718106269836426e+00
9.667520523071289062e-01,7.556670904159545898e-01
6.931224465370178223e-01,7.556670904159545898e-01
9.223911762237548828e-01,7.556670904159545898e-01
3.111871004104614258e+00,3.243501186370849609e+00
1.710940122604370117e+00,1.647386908531188965e+00
9.670873880386352539e-01,7.556670904159545898e-01
1.576641201972961426e+00,1.631855368614196777e+00
3.771250486373901367e+00,3.286581039428710938e+00
3.508418321609497070e+00,3.547504901885986328e+00
2.812560558319091797e+00,2.957887649536132812e+00
6.465500593185424805e-01,7.556670904159545898e-01
2.367521047592163086e+00,2.392221927642822266e+00
3.683891296386718750e+00,3.259665489196777344e+00
6.929001212120056152e-01,6.517959833145141602e-01
1.088584303855895996e+00,7.556670904159545898e-01
3.606444835662841797e+00,3.385748863220214844e+00
2.513058423995971680e+00,2.566299915313720703e+00
2.101412296295166016e+00,1.831924080848693848e+00
8.522893786430358887e-01,1.150319218635559082e+00
3.584073543548583984e+00,3.576307296752929688e+00
2.150648355484008789e+00,2.003441333770751953e+00
1.971063017845153809e+00,2.182297706604003906e+00
1.643006801605224609e+00,1.961895108222961426e+00
9.992373585700988770e-01,7.556670904159545898e-01
3.226599693298339844e+00,2.809758186340332031e+00
2.546339035034179688e+00,2.689562797546386719e+00
1.229978442192077637e+00,6.517959833145141602e-01
3.094795703887939453e+00,2.586107730865478516e+00
2.837072134017944336e+00,2.860926628112792969e+00
2.670176327228546143e-01,7.556670904159545898e-01
3.440909624099731445e+00,3.119355201721191406e+00
8.716299533843994141e-01,7.556670904159545898e-01
8.282169699668884277e-01,6.517959833145141602e-01
1.130399465560913086e+00,7.556670904159545898e-01
7.580556273460388184e-01,6.517959833145141602e-01
1.599951267242431641e+00,1.692299962043762207e+00
2.652574777603149414e-01,6.517959833145141602e-01
3.713295936584472656e+00,3.437876224517822266e+00
1.282201558351516724e-01,7.556670904159545898e-01
1.706723690032958984e+00,1.734418869018554688e+00
4.610891342163085938e-01,6.517959833145141602e-01
7.675188779830932617e-01,7.556670904159545898e-01
1.245418787002563477e+00,9.756737947463989258e-01
3.548328638076782227e+00,3.027903556823730469e+00
2.081793248653411865e-01,7.556670904159545898e-01
3.105746030807495117e+00,2.809097290039062500e+00
2.466941595077514648e+00,2.397051334381103516e+00
6.279540807008743286e-02,7.556670904159545898e-01
3.227909564971923828e+00,3.251008033752441406e+00
