# temp_init,temp_pred
3.981522321701049805e+00,3.644124984741210938e+00
2.451603561639785767e-01,8.005757331848144531e-01
3.449853181838989258e+00,3.602528572082519531e+00
2.788356781005859375e+00,3.060350418090820312e+00
3.353524446487426758e+00,3.210426330566406250e+00
1.011427640914916992e+00,8.128445148468017578e-01
1.959762275218963623e-01,8.128445148468017578e-01
1.865504622459411621e+00,1.804288387298583984e+00
2.411983013153076172e+00,2.870843410491943359e+00
6.573786139488220215e-01,8.005757331848144531e-01
3.209123611450195312e+00,3.310329914093017578e+00
3.805740475654602051e-01,8.128445148468017578e-01
2.817745447158813477e+00,2.977343559265136719e+00
1.949748277664184570e+00,2.054900169372558594e+00
3.263153791427612305e+00,2.893434047698974609e+00
3.823933839797973633e+00,3.404288768768310547e+00
1.013157486915588379e+00,8.128445148468017578e-01
3.705653190612792969e+00,3.160027503967285156e+00
1.817458391189575195e+00,1.842741131782531738e+00
2.061710357666015625e+00,2.427366733551025391e+00
1.011427640914916992e+00,8.128445148468017578e-01
2.646207094192504883e+00,2.458255767822265625e+00
3.877357482910156250e+00,3.077037334442138672e+00
3.344859838485717773e+00,3.354456424713134766e+00
1.914789080619812012e+00,1.810811638832092285e+00
3.485027790069580078e+00,3.093867778778076172e+00
2.528357982635498047e+00,3.318314075469970703e+00
2.351805925369262695e+00,2.305331230163574219e+00
3.747702598571777344e+00,2.854951858520507812e+00
1.012284874916076660e+00,8.005757331848144531e-01
3.323555290699005127e-01,8.005757331848144531e-01
2.503447532653808594e+00,2.613872051239013672e+00
3.975867509841918945e+00,3.694344520568847656e+00
2.862718105316162109e+00,2.903394699096679688e+00
1.004607439041137695e+00,8.128445148468017578e-01
2.850466728210449219e+00,3.028586864471435547e+00
3.854584693908691406e-01,8.128445148468017578e-01
1.599995970726013184e+00,1.774914622306823730e+00
1.732689738273620605e+00,1.618296384811401367e+00
2.710909843444824219e+00,2.749144077301025391e+00
1.762532711029052734e+00,1.660539388656616211e+00
1.771872401237487793e+00,1.603198528289794922e+00
3.409226417541503906e+00,3.338364601135253906e+00
3.867079496383666992e+00,3.379922866821289062e+00
1.092095255851745605e+00,8.005757331848144531e-01
2.454026460647583008e+00,2.248530387878417969e+00
1.045367240905761719e+00,8.128445148468017578e-01
5.648515820503234863e-01,8.005757331848144531e-01
3.747702598571777344e+00,3.667023181915283203e+00
1.418311119079589844e+00,1.641313910484313965e+00
4.847005605697631836e-01,8.005757331848144531e-01
1.315560698509216309e+00,1.596471309661865234e+00
5.551754832267761230e-01,8.128445148468017578e-01
2.865187406539916992e+00,2.440820932388305664e+00
3.339114665985107422e+00,3.280495643615722656e+00
3.443366050720214844e+00,3.184622764587402344e+00
2.106884866952896118e-01,8.005757331848144531e-01
3.352057218551635742e+00,2.662804603576660156e+00
2.340682506561279297e+00,2.395078659057617188e+00
8.267698884010314941e-01,8.005757331848144531e-01
2.483914613723754883e+00,2.694726943969726562e+00
1.227350115776062012e+00,8.128445148468017578e-01
2.792876005172729492e+00,3.176716327667236328e+00
2.234150648117065430e+00,2.205258369445800781e+00
2.454598665237426758e+00,2.354216337203979492e+00
