# temp_init,temp_pred
2.761751651763916016e+00,2.710031986236572266e+00
9.682316184043884277e-01,8.106848597526550293e-01
3.038183212280273438e+00,3.550833702087402344e+00
1.451139688491821289e+00,8.106848597526550293e-01
3.529931306838989258e+00,3.545810222625732422e+00
3.026726245880126953e+00,3.040116548538208008e+00
2.260756015777587891e+00,1.651555776596069336e+00
2.170440196990966797e+00,1.629130959510803223e+00
2.727242469787597656e+00,2.564767360687255859e+00
3.422612190246582031e+00,3.503451585769653320e+00
1.159635424613952637e+00,8.106848597526550293e-01
2.053370714187622070e+00,2.453914165496826172e+00
2.798970699310302734e+00,2.954770088195800781e+00
1.012223005294799805e+00,8.075747489929199219e-01
3.839820146560668945e+00,3.243906259536743164e+00
2.411983013153076172e+00,2.926459789276123047e+00
3.459317207336425781e+00,3.495068550109863281e+00
3.705653190612792969e+00,3.647848844528198242e+00
1.762532711029052734e+00,1.727204442024230957e+00
4.965242147445678711e-01,8.075747489929199219e-01
3.704851865768432617e+00,3.262044191360473633e+00
4.661589264869689941e-01,8.106848597526550293e-01
8.027916550636291504e-01,8.075747489929199219e-01
1.013157486915588379e+00,8.106848597526550293e-01
3.262176752090454102e+00,3.629064321517944336e+00
1.805776715278625488e+00,2.009639978408813477e+00
1.451139688491821289e+00,8.106848597526550293e-01
3.840879201889038086e+00,3.468149662017822266e+00
2.475274562835693359e+00,3.186349391937255859e+00
2.872722625732421875e+00,3.416292905807495117e+00
2.372225046157836914e+00,3.023589134216308594e+00
1.904787063598632812e+00,8.106848597526550293e-01
2.360311508178710938e+00,3.270659446716308594e+00
3.587071657180786133e+00,3.520943641662597656e+00
3.509522676467895508e+00,3.445914745330810547e+00
3.275247573852539062e+00,3.444011211395263672e+00
9.457299709320068359e-01,8.106848597526550293e-01
1.009836077690124512e+00,8.106848597526550293e-01
3.764139413833618164e+00,3.181849002838134766e+00
1.174134850502014160e+00,8.075747489929199219e-01
3.371187925338745117e+00,3.695842266082763672e+00
2.708829402923583984e+00,3.354361057281494141e+00
2.614150643348693848e-01,8.075747489929199219e-01
2.427394151687622070e+00,2.957069873809814453e+00
3.586617708206176758e+00,3.484783649444580078e+00
5.505324602127075195e-01,8.106848597526550293e-01
2.623720407485961914e+00,2.949205398559570312e+00
3.529931306838989258e+00,3.696758747100830078e+00
5.249996185302734375e-01,8.075747489929199219e-01
8.052510619163513184e-01,8.106848597526550293e-01
3.321169376373291016e+00,2.942946910858154297e+00
