# temp_init,temp_pred
7.415849566459655762e-01,6.046150922775268555e-01
1.540315151214599609e+00,8.696440458297729492e-01
1.978561639785766602e+00,1.877282857894897461e+00
9.753592312335968018e-02,6.265575885772705078e-01
3.917888164520263672e+00,3.469939708709716797e+00
2.823895215988159180e+00,3.010192871093750000e+00
8.209699988365173340e-01,6.265575885772705078e-01
1.993199229240417480e+00,2.025914669036865234e+00
6.924527287483215332e-01,6.046150922775268555e-01
1.614546477794647217e-01,6.265575885772705078e-01
3.859110593795776367e+00,2.710319995880126953e+00
1.209761500358581543e+00,6.265575885772705078e-01
2.964594364166259766e+00,3.283110141754150391e+00
1.696486115455627441e+00,1.661096811294555664e+00
1.001817584037780762e+00,6.265575885772705078e-01
2.034549266099929810e-01,6.265575885772705078e-01
2.076936006546020508e+00,1.981887578964233398e+00
4.210168421268463135e-01,6.265575885772705078e-01
8.543047904968261719e-01,7.906482219696044922e-01
4.054112136363983154e-01,6.265575885772705078e-01
3.288987874984741211e+00,3.048794269561767578e+00
2.476688623428344727e+00,2.266486167907714844e+00
3.764922857284545898e+00,3.199752807617187500e+00
1.837199330329895020e+00,1.786571264266967773e+00
2.506032586097717285e-01,6.265575885772705078e-01
3.902512490749359131e-01,6.265575885772705078e-01
1.691868543624877930e+00,1.774140596389770508e+00
2.715824842453002930e+00,3.055847167968750000e+00
1.690858602523803711e+00,1.673818111419677734e+00
3.555841445922851562e+00,3.659507274627685547e+00
1.058668494224548340e+00,9.298788309097290039e-01
1.001817584037780762e+00,7.978950738906860352e-01
2.491251230239868164e+00,2.678815841674804688e+00
2.287733554840087891e+00,2.375922679901123047e+00
2.830992698669433594e+00,2.902948856353759766e+00
1.971063017845153809e+00,1.921328067779541016e+00
3.173031568527221680e+00,3.465418338775634766e+00
1.438359737396240234e+00,1.366530895233154297e+00
1.909813284873962402e+00,1.991386175155639648e+00
1.549158096313476562e+00,1.489779233932495117e+00
2.148785829544067383e+00,2.097129821777343750e+00
3.637803077697753906e+00,3.757242202758789062e+00
3.822612762451171875e+00,3.580201625823974609e+00
3.778948068618774414e+00,3.555423259735107422e+00
5.811355113983154297e-01,6.046150922775268555e-01
1.485323786735534668e+00,1.485605955123901367e+00
3.933163583278656006e-01,6.046150922775268555e-01
2.595057010650634766e+00,2.693963050842285156e+00
3.014873981475830078e+00,2.851602554321289062e+00
2.422454833984375000e+00,2.332407474517822266e+00
4.965637326240539551e-01,6.265575885772705078e-01
1.582426071166992188e+00,1.523604393005371094e+00
1.127339005470275879e+00,6.046150922775268555e-01
3.361706972122192383e+00,3.854133129119873047e+00
1.127339005470275879e+00,6.265575885772705078e-01
1.418998718261718750e+00,9.769079089164733887e-01
1.978561639785766602e+00,1.903975486755371094e+00
3.463598251342773438e+00,3.503039836883544922e+00
3.245762825012207031e+00,3.429005622863769531e+00
2.107170343399047852e+00,2.160963535308837891e+00
3.815151691436767578e+00,3.413616180419921875e+00
2.641109228134155273e+00,2.571390628814697266e+00
9.322150945663452148e-01,6.046150922775268555e-01
2.276190042495727539e+00,2.230447530746459961e+00
3.202877759933471680e+00,3.315501689910888672e+00
3.504840850830078125e+00,3.549318790435791016e+00
1.217536568641662598e+00,8.537809848785400391e-01
1.165328979492187500e+00,7.535988092422485352e-01
2.120008707046508789e+00,2.041128158569335938e+00
3.529852628707885742e+00,3.081316947937011719e+00
3.923455715179443359e+00,3.664031028747558594e+00
2.697811841964721680e+00,2.427691459655761719e+00
1.789700031280517578e+00,1.665510892868041992e+00
6.929001212120056152e-01,6.046150922775268555e-01
2.312055587768554688e+00,2.110220193862915039e+00
3.010333776473999023e+00,3.718842506408691406e+00
1.663773655891418457e+00,1.620257616043090820e+00
3.254723310470581055e+00,3.378223419189453125e+00
2.310190916061401367e+00,2.009900093078613281e+00
1.049377799034118652e+00,7.641611695289611816e-01
1.044576883316040039e+00,6.265575885772705078e-01
3.068036317825317383e+00,3.130871295928955078e+00
2.837072134017944336e+00,2.974268436431884766e+00
8.282169699668884277e-01,6.046150922775268555e-01
3.553939580917358398e+00,2.863647937774658203e+00
3.080806970596313477e+00,3.147135734558105469e+00
2.817986249923706055e+00,3.218705654144287109e+00
3.524716377258300781e+00,3.403467655181884766e+00
8.554176688194274902e-01,1.132225751876831055e+00
2.123687744140625000e+00,1.957112312316894531e+00
2.603958606719970703e+00,2.706510543823242188e+00
8.811702132225036621e-01,6.046150922775268555e-01
3.646058559417724609e+00,3.587166309356689453e+00
2.576037645339965820e+00,2.560079574584960938e+00
3.245762825012207031e+00,3.073184967041015625e+00
1.317847251892089844e+00,1.023219823837280273e+00
3.763992309570312500e+00,3.739335536956787109e+00
8.222097754478454590e-01,6.046150922775268555e-01
4.641929566860198975e-01,6.046150922775268555e-01
1.350505948066711426e+00,1.580361366271972656e+00
2.147525310516357422e+00,2.127294540405273438e+00
1.710377216339111328e+00,1.105573296546936035e+00
2.182787179946899414e+00,2.016900539398193359e+00
1.142013907432556152e+00,6.480893492698669434e-01
1.445708394050598145e+00,1.564235448837280273e+00
6.438532471656799316e-01,6.265575885772705078e-01
1.532518982887268066e+00,1.733706951141357422e+00
1.863766312599182129e+00,1.939401149749755859e+00
2.367521047592163086e+00,2.458533763885498047e+00
1.537272930145263672e+00,1.295254468917846680e+00
3.797276258468627930e+00,3.653728961944580078e+00
2.312055587768554688e+00,2.397227287292480469e+00
3.433733701705932617e+00,3.646929264068603516e+00
2.888335704803466797e+00,2.766215324401855469e+00
1.517784595489501953e+00,1.445783138275146484e+00
3.831168889999389648e+00,3.732018947601318359e+00
1.789700031280517578e+00,1.458554387092590332e+00
1.175786495208740234e+00,6.265575885772705078e-01
3.700532436370849609e+00,3.747566699981689453e+00
2.679808855056762695e+00,2.949954986572265625e+00
1.915786564350128174e-01,6.265575885772705078e-01
3.750457525253295898e+00,3.560356616973876953e+00
3.741853237152099609e+00,3.677820682525634766e+00
5.863327160477638245e-02,6.265575885772705078e-01
6.390335559844970703e-01,6.265575885772705078e-01
1.955434679985046387e+00,1.914769649505615234e+00
1.951206326484680176e+00,1.752046346664428711e+00
1.175786495208740234e+00,1.430807590484619141e+00
3.815151691436767578e+00,3.495516300201416016e+00
3.626657724380493164e+00,3.289560794830322266e+00
1.567668676376342773e+00,1.201583862304687500e+00
2.070529162883758545e-01,6.265575885772705078e-01
3.516990184783935547e+00,3.761229038238525391e+00
3.805417776107788086e+00,3.230385780334472656e+00
3.123759031295776367e+00,2.764708042144775391e+00
3.560248851776123047e+00,3.190893650054931641e+00
3.720453381538391113e-01,6.265575885772705078e-01
2.837100028991699219e-01,6.046150922775268555e-01
1.993199229240417480e+00,1.809044599533081055e+00
1.488194704055786133e+00,1.354186892509460449e+00
9.691411852836608887e-01,6.265575885772705078e-01
1.599951267242431641e+00,1.195960760116577148e+00
