# temp_init,temp_pred
1.148410677909851074e+00,6.966304779052734375e-01
1.148410677909851074e+00,6.966304779052734375e-01
1.148410677909851074e+00,6.966304779052734375e-01
1.148410677909851074e+00,6.966304779052734375e-01
1.148410677909851074e+00,7.072724103927612305e-01
3.036155939102172852e+00,2.983995437622070312e+00
3.036155939102172852e+00,2.675708532333374023e+00
3.036155939102172852e+00,3.445138931274414062e+00
3.036155939102172852e+00,3.267521381378173828e+00
3.036155939102172852e+00,3.074433326721191406e+00
2.621518850326538086e+00,2.965950489044189453e+00
2.621518850326538086e+00,2.856852531433105469e+00
2.621518850326538086e+00,2.908818483352661133e+00
2.621518850326538086e+00,2.663352251052856445e+00
2.621518850326538086e+00,3.079766511917114258e+00
1.556695699691772461e+00,1.597480654716491699e+00
1.556695699691772461e+00,1.408882498741149902e+00
1.556695699691772461e+00,1.540484905242919922e+00
1.556695699691772461e+00,1.790114402770996094e+00
1.556695699691772461e+00,1.439965844154357910e+00
1.178606390953063965e+00,1.463153719902038574e+00
1.178606390953063965e+00,1.389224886894226074e+00
1.178606390953063965e+00,7.072724103927612305e-01
1.178606390953063965e+00,1.375789403915405273e+00
1.178606390953063965e+00,1.404435873031616211e+00
2.137795925140380859e+00,2.036191225051879883e+00
2.137795925140380859e+00,2.030778169631958008e+00
2.137795925140380859e+00,2.078700542449951172e+00
2.137795925140380859e+00,2.252577543258666992e+00
2.137795925140380859e+00,2.087599992752075195e+00
2.607517242431640625e-01,7.072724103927612305e-01
2.607517242431640625e-01,6.966304779052734375e-01
2.607517242431640625e-01,7.072724103927612305e-01
2.607517242431640625e-01,7.072724103927612305e-01
2.607517242431640625e-01,7.072724103927612305e-01
1.275319099426269531e+00,6.966304779052734375e-01
1.275319099426269531e+00,6.966304779052734375e-01
1.275319099426269531e+00,7.072724103927612305e-01
1.275319099426269531e+00,1.410026788711547852e+00
1.275319099426269531e+00,7.072724103927612305e-01
1.450020372867584229e-01,6.966304779052734375e-01
1.450020372867584229e-01,7.072724103927612305e-01
1.450020372867584229e-01,7.072724103927612305e-01
1.450020372867584229e-01,7.072724103927612305e-01
1.450020372867584229e-01,6.966304779052734375e-01
3.114753484725952148e+00,3.403786182403564453e+00
3.114753484725952148e+00,3.227764129638671875e+00
3.114753484725952148e+00,2.954273700714111328e+00
3.114753484725952148e+00,3.300008058547973633e+00
3.114753484725952148e+00,3.187847852706909180e+00
1.679851055145263672e+00,1.936600685119628906e+00
1.679851055145263672e+00,7.072724103927612305e-01
1.679851055145263672e+00,1.671915292739868164e+00
1.679851055145263672e+00,1.558729529380798340e+00
1.679851055145263672e+00,1.619814157485961914e+00
7.699655890464782715e-01,7.072724103927612305e-01
7.699655890464782715e-01,7.072724103927612305e-01
7.699655890464782715e-01,7.072724103927612305e-01
7.699655890464782715e-01,7.072724103927612305e-01
7.699655890464782715e-01,6.966304779052734375e-01
1.676775813102722168e+00,1.544139385223388672e+00
1.676775813102722168e+00,7.072724103927612305e-01
1.676775813102722168e+00,1.942765235900878906e+00
1.676775813102722168e+00,1.409025430679321289e+00
1.676775813102722168e+00,1.403077363967895508e+00
1.627396196126937866e-01,6.966304779052734375e-01
1.627396196126937866e-01,7.072724103927612305e-01
1.627396196126937866e-01,6.966304779052734375e-01
1.627396196126937866e-01,7.072724103927612305e-01
1.627396196126937866e-01,6.966304779052734375e-01
1.447994112968444824e+00,1.609164714813232422e+00
1.447994112968444824e+00,6.966304779052734375e-01
1.447994112968444824e+00,1.698076367378234863e+00
1.447994112968444824e+00,1.455366849899291992e+00
1.447994112968444824e+00,1.388629794120788574e+00
3.612965822219848633e+00,2.974337100982666016e+00
3.612965822219848633e+00,3.350250959396362305e+00
3.612965822219848633e+00,3.391260623931884766e+00
3.612965822219848633e+00,3.514791727066040039e+00
3.612965822219848633e+00,3.220961809158325195e+00
5.210884809494018555e-01,7.072724103927612305e-01
5.210884809494018555e-01,6.966304779052734375e-01
5.210884809494018555e-01,7.072724103927612305e-01
5.210884809494018555e-01,7.072724103927612305e-01
5.210884809494018555e-01,7.072724103927612305e-01
3.579861164093017578e+00,3.266880512237548828e+00
3.579861164093017578e+00,3.350336551666259766e+00
3.579861164093017578e+00,3.451398372650146484e+00
3.579861164093017578e+00,3.222144126892089844e+00
3.579861164093017578e+00,3.223446846008300781e+00
1.154621839523315430e+00,6.966304779052734375e-01
1.154621839523315430e+00,6.966304779052734375e-01
1.154621839523315430e+00,1.554591655731201172e+00
1.154621839523315430e+00,6.966304779052734375e-01
1.154621839523315430e+00,7.072724103927612305e-01
2.453957319259643555e+00,2.339114665985107422e+00
2.453957319259643555e+00,2.872274637222290039e+00
2.453957319259643555e+00,2.798315286636352539e+00
2.453957319259643555e+00,2.326342105865478516e+00
2.453957319259643555e+00,2.746586084365844727e+00
2.999887943267822266e+00,3.119450569152832031e+00
2.999887943267822266e+00,3.266061067581176758e+00
2.999887943267822266e+00,3.347858428955078125e+00
2.999887943267822266e+00,3.111764430999755859e+00
2.999887943267822266e+00,3.292612791061401367e+00
2.751106321811676025e-01,6.966304779052734375e-01
2.751106321811676025e-01,6.966304779052734375e-01
2.751106321811676025e-01,6.966304779052734375e-01
2.751106321811676025e-01,6.966304779052734375e-01
2.751106321811676025e-01,7.072724103927612305e-01
3.761214494705200195e+00,3.333462238311767578e+00
3.761214494705200195e+00,3.304217338562011719e+00
3.761214494705200195e+00,3.546514272689819336e+00
3.761214494705200195e+00,3.620886802673339844e+00
3.761214494705200195e+00,3.627732038497924805e+00
1.842626929283142090e+00,1.755498766899108887e+00
1.842626929283142090e+00,1.814323544502258301e+00
1.842626929283142090e+00,1.606278896331787109e+00
1.842626929283142090e+00,1.705024123191833496e+00
1.842626929283142090e+00,2.021386623382568359e+00
3.763200342655181885e-02,6.966304779052734375e-01
3.763200342655181885e-02,7.072724103927612305e-01
3.763200342655181885e-02,7.072724103927612305e-01
3.763200342655181885e-02,6.966304779052734375e-01
3.763200342655181885e-02,6.966304779052734375e-01
9.782137721776962280e-02,7.072724103927612305e-01
9.782137721776962280e-02,7.072724103927612305e-01
9.782137721776962280e-02,6.966304779052734375e-01
9.782137721776962280e-02,6.966304779052734375e-01
9.782137721776962280e-02,6.966304779052734375e-01
3.563680410385131836e+00,3.369042634963989258e+00
3.563680410385131836e+00,3.673913717269897461e+00
3.563680410385131836e+00,3.477695465087890625e+00
3.563680410385131836e+00,3.644285917282104492e+00
3.563680410385131836e+00,3.193006992340087891e+00
1.583383679389953613e+00,6.966304779052734375e-01
1.583383679389953613e+00,1.677372813224792480e+00
1.583383679389953613e+00,1.637469053268432617e+00
1.583383679389953613e+00,1.563354134559631348e+00
1.583383679389953613e+00,1.612665772438049316e+00
2.579096078872680664e+00,2.829265832901000977e+00
2.579096078872680664e+00,2.355526447296142578e+00
2.579096078872680664e+00,2.355290889739990234e+00
2.579096078872680664e+00,3.115685462951660156e+00
2.579096078872680664e+00,2.843248367309570312e+00
7.951795458793640137e-01,6.966304779052734375e-01
7.951795458793640137e-01,6.966304779052734375e-01
7.951795458793640137e-01,7.072724103927612305e-01
7.951795458793640137e-01,6.966304779052734375e-01
7.951795458793640137e-01,7.072724103927612305e-01
3.857942819595336914e+00,3.209873676300048828e+00
3.857942819595336914e+00,3.676276683807373047e+00
3.857942819595336914e+00,3.652028799057006836e+00
3.857942819595336914e+00,3.465790748596191406e+00
3.857942819595336914e+00,3.389041900634765625e+00
3.382940053939819336e+00,3.549015998840332031e+00
3.382940053939819336e+00,3.131418228149414062e+00
3.382940053939819336e+00,3.321788787841796875e+00
3.382940053939819336e+00,3.252959966659545898e+00
3.382940053939819336e+00,3.344662189483642578e+00
3.950002431869506836e+00,3.504851579666137695e+00
3.950002431869506836e+00,3.589297533035278320e+00
3.950002431869506836e+00,3.261028289794921875e+00
3.950002431869506836e+00,3.428127527236938477e+00
3.950002431869506836e+00,3.072622299194335938e+00
3.652950525283813477e+00,2.995929718017578125e+00
3.652950525283813477e+00,3.143607616424560547e+00
3.652950525283813477e+00,3.409512519836425781e+00
3.652950525283813477e+00,3.455290555953979492e+00
3.652950525283813477e+00,3.671797513961791992e+00
8.768609166145324707e-01,7.072724103927612305e-01
8.768609166145324707e-01,6.966304779052734375e-01
8.768609166145324707e-01,6.966304779052734375e-01
8.768609166145324707e-01,6.966304779052734375e-01
8.768609166145324707e-01,7.072724103927612305e-01
3.376642227172851562e+00,3.126368999481201172e+00
3.376642227172851562e+00,3.503347396850585938e+00
3.376642227172851562e+00,3.345377922058105469e+00
3.376642227172851562e+00,3.271373271942138672e+00
3.376642227172851562e+00,3.314218997955322266e+00
6.481356024742126465e-01,7.072724103927612305e-01
6.481356024742126465e-01,6.966304779052734375e-01
6.481356024742126465e-01,6.966304779052734375e-01
6.481356024742126465e-01,7.072724103927612305e-01
6.481356024742126465e-01,6.966304779052734375e-01
2.489720582962036133e+00,3.097705841064453125e+00
2.489720582962036133e+00,2.648784637451171875e+00
2.489720582962036133e+00,3.034151077270507812e+00
2.489720582962036133e+00,2.760130882263183594e+00
2.489720582962036133e+00,2.266206979751586914e+00
5.852150917053222656e-01,7.072724103927612305e-01
5.852150917053222656e-01,7.072724103927612305e-01
5.852150917053222656e-01,6.966304779052734375e-01
5.852150917053222656e-01,7.072724103927612305e-01
5.852150917053222656e-01,7.072724103927612305e-01
1.378113962709903717e-02,7.072724103927612305e-01
1.378113962709903717e-02,6.966304779052734375e-01
1.378113962709903717e-02,7.072724103927612305e-01
1.378113962709903717e-02,6.966304779052734375e-01
1.378113962709903717e-02,7.072724103927612305e-01
2.253408432006835938e+00,2.567116975784301758e+00
2.253408432006835938e+00,2.222136497497558594e+00
2.253408432006835938e+00,2.335983753204345703e+00
2.253408432006835938e+00,2.113769054412841797e+00
2.253408432006835938e+00,2.085823774337768555e+00
1.955779790878295898e+00,1.939816951751708984e+00
1.955779790878295898e+00,1.715975999832153320e+00
1.955779790878295898e+00,1.766749858856201172e+00
1.955779790878295898e+00,2.170962810516357422e+00
1.955779790878295898e+00,1.603506565093994141e+00
1.771699309349060059e+00,1.923338532447814941e+00
1.771699309349060059e+00,1.938272953033447266e+00
1.771699309349060059e+00,1.543002367019653320e+00
1.771699309349060059e+00,2.070689678192138672e+00
1.771699309349060059e+00,1.761051893234252930e+00
1.427468419075012207e+00,7.072724103927612305e-01
1.427468419075012207e+00,1.427519321441650391e+00
1.427468419075012207e+00,6.966304779052734375e-01
1.427468419075012207e+00,1.609488487243652344e+00
1.427468419075012207e+00,1.395142078399658203e+00
5.847612619400024414e-01,7.072724103927612305e-01
5.847612619400024414e-01,6.966304779052734375e-01
5.847612619400024414e-01,7.072724103927612305e-01
5.847612619400024414e-01,7.072724103927612305e-01
5.847612619400024414e-01,7.072724103927612305e-01
2.782446384429931641e+00,3.142116785049438477e+00
2.782446384429931641e+00,3.251867771148681641e+00
2.782446384429931641e+00,2.544917106628417969e+00
2.782446384429931641e+00,3.257498741149902344e+00
2.782446384429931641e+00,3.332332134246826172e+00
1.371575713157653809e+00,1.375846862792968750e+00
1.371575713157653809e+00,6.966304779052734375e-01
1.371575713157653809e+00,6.966304779052734375e-01
1.371575713157653809e+00,1.439785003662109375e+00
1.371575713157653809e+00,1.559283018112182617e+00
3.749565482139587402e-01,7.072724103927612305e-01
3.749565482139587402e-01,6.966304779052734375e-01
3.749565482139587402e-01,7.072724103927612305e-01
3.749565482139587402e-01,6.966304779052734375e-01
3.749565482139587402e-01,7.072724103927612305e-01
2.919130086898803711e+00,3.062372207641601562e+00
2.919130086898803711e+00,3.506088256835937500e+00
2.919130086898803711e+00,3.431097030639648438e+00
2.919130086898803711e+00,2.775464057922363281e+00
2.919130086898803711e+00,2.928112745285034180e+00
2.791778087615966797e+00,3.180274009704589844e+00
2.791778087615966797e+00,3.104173183441162109e+00
2.791778087615966797e+00,3.170590639114379883e+00
2.791778087615966797e+00,3.044245958328247070e+00
2.791778087615966797e+00,3.106692075729370117e+00
2.335852622985839844e+00,2.496653318405151367e+00
2.335852622985839844e+00,2.978926181793212891e+00
2.335852622985839844e+00,2.197154283523559570e+00
2.335852622985839844e+00,2.231196403503417969e+00
2.335852622985839844e+00,2.392232179641723633e+00
3.060816526412963867e+00,2.949559688568115234e+00
3.060816526412963867e+00,3.216167449951171875e+00
3.060816526412963867e+00,3.663478612899780273e+00
3.060816526412963867e+00,3.474820375442504883e+00
3.060816526412963867e+00,3.400036811828613281e+00
3.860393524169921875e+00,3.402980804443359375e+00
3.860393524169921875e+00,3.504487037658691406e+00
3.860393524169921875e+00,3.375335693359375000e+00
3.860393524169921875e+00,3.835214614868164062e+00
3.860393524169921875e+00,3.318568944931030273e+00
1.891262888908386230e+00,1.540498971939086914e+00
1.891262888908386230e+00,2.018178701400756836e+00
1.891262888908386230e+00,1.769412279129028320e+00
